price,sqft,beds,bath,laundry,pets,housing_type,parking,hood_district
4800,1000.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,6.0
5000,1400.0,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
5000,1400.0,3.0,3.5,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2900,725.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,6.0
1880,350.0,0.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
3995,908.0,2.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2200,630.0,1.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,5.0
2795,664.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,5.0
3300,900.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,5.0
2995,810.0,2.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,5.0
1995,388.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
2750,600.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,5.0
5050,1500.0,2.0,2.0,(a) in-unit,(c) cats,(c) multi,(b) protected,7.0
3800,950.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(a) valet,9.0
2600,725.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,6.0
3498,995.0,2.0,2.0,(b) on-site,(a) both,(c) multi,(c) off-street,5.0
2600,558.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
2950,606.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,6.0
2795,750.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
2195,1000.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
3815,683.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4050,830.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(a) valet,9.0
750,170.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,10.0
2299,500.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
3572,697.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2843,720.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3636,721.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3107,690.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2800,780.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
3404,855.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2399,559.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(a) valet,9.0
3250,650.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
1948,500.0,0.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
1948,500.0,0.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2600,800.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2600,650.0,1.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,9.0
3000,900.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,8.0
3300,757.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2500,600.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,4.0
2700,625.0,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,7.0
3200,916.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3200,916.0,1.0,1.0,(a) in-unit,(b) dogs,(c) multi,(b) protected,9.0
2404,615.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(c) off-street,5.0
2660,615.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(c) off-street,5.0
2835,600.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
2586,662.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
1820,516.0,0.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2100,660.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,9.0
3500,768.0,1.0,1.0,(a) in-unit,(b) dogs,(c) multi,(b) protected,9.0
3884,943.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
3750,1375.0,2.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
3750,1375.0,2.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
4390,1070.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4390,1070.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3000,750.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,5.0
3188,737.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4499,1200.0,2.0,2.0,(a) in-unit,(d) no pets,(a) single,(b) protected,2.0
4800,1105.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
3395,1162.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(c) off-street,9.0
2700,650.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2339,512.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2200,500.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
2200,500.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
2095,600.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
1850,425.0,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(d) no parking,8.0
1850,425.0,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(d) no parking,8.0
2595,675.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
2600,750.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,9.0
2450,650.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,6.0
2350,600.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,8.0
2950,700.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
3000,950.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
2589,1219.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,10.0
2702,1101.0,1.0,2.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
4500,1200.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3200,800.0,2.0,1.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
2300,700.0,2.0,1.0,(b) on-site,(d) no pets,(b) double,(d) no parking,2.0
3490,500.0,2.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,5.0
3590,885.0,2.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
3588,995.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3663,1043.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3400,1100.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
4578,986.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3312,922.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3400,750.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,6.0
2650,700.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3800,1400.0,2.0,2.0,(b) on-site,(b) dogs,(c) multi,(d) no parking,7.0
2685,970.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,10.0
4999,1598.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
3700,900.0,2.0,1.0,(a) in-unit,(d) no pets,(a) single,(b) protected,2.0
2795,743.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
3200,800.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3000,800.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3250,900.0,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,5.0
2800,675.0,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
2700,675.0,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
3795,1200.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
3950,1450.0,3.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
1691,232.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
1660,232.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
1690,233.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
1679,241.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
3000,810.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,7.0
3999,1000.0,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,5.0
3600,800.0,2.0,2.0,(b) on-site,(a) both,(c) multi,(d) no parking,5.0
3700,930.0,2.0,2.0,(a) in-unit,(b) dogs,(c) multi,(b) protected,9.0
2500,900.0,2.0,1.0,(b) on-site,(d) no pets,(b) double,(d) no parking,10.0
2765,902.0,2.0,1.5,(c) no laundry,(d) no pets,(c) multi,(d) no parking,10.0
2850,900.0,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
2999,775.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,1.0
3900,950.0,2.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
6995,1473.0,2.0,2.5,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
3900,1254.0,2.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4500,1450.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
5595,1150.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3000,860.0,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,2.0
3895,1000.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(c) off-street,8.0
3999,1500.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4500,975.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
3150,900.0,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
3800,1200.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,8.0
3100,750.0,2.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,4.0
3795,1050.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,5.0
2800,875.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
3100,1000.0,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,2.0
3300,1000.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
2765,902.0,2.0,1.5,(c) no laundry,(d) no pets,(c) multi,(d) no parking,10.0
3250,1000.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
3349,1400.0,3.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
4750,1421.0,3.0,1.5,(c) no laundry,(a) both,(c) multi,(d) no parking,5.0
7195,1651.0,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,5.0
4637,1108.0,3.0,2.0,(c) no laundry,(a) both,(c) multi,(b) protected,6.0
2999,2000.0,3.0,2.0,(b) on-site,(d) no pets,(a) single,(d) no parking,10.0
3699,1100.0,3.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,8.0
4950,1000.0,3.0,1.5,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
3200,950.0,3.0,1.5,(a) in-unit,(d) no pets,(a) single,(d) no parking,10.0
3800,1500.0,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
3900,1200.0,3.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
5100,1500.0,3.0,2.5,(a) in-unit,(d) no pets,(a) single,(b) protected,4.0
7654,1525.0,3.0,2.5,(a) in-unit,(b) dogs,(c) multi,(b) protected,8.0
3698,900.0,3.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
4995,1500.0,3.0,2.0,(a) in-unit,(a) both,(c) multi,(c) off-street,5.0
3595,1100.0,3.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
2599,665.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(c) off-street,9.0
2900,950.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
4149,1200.0,3.0,1.5,(b) on-site,(d) no pets,(c) multi,(b) protected,2.0
3300,800.0,3.0,3.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,2.0
2900,1000.0,3.0,1.0,(b) on-site,(d) no pets,(a) single,(d) no parking,3.0
3200,800.0,3.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
3700,1600.0,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,6.0
4000,1500.0,3.0,2.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,5.0
4800,1500.0,3.0,2.5,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
4695,1650.0,3.0,3.0,(b) on-site,(d) no pets,(c) multi,(b) protected,1.0
2995,732.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2950,1162.0,1.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3850,966.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
5695,1429.0,3.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,5.0
5000,1240.0,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,5.0
9300,2200.0,4.0,2.5,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
6000,1500.0,4.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
5600,1800.0,4.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,5.0
5500,1800.0,4.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,5.0
3150,1000.0,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(d) no parking,8.0
3150,1000.0,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(d) no parking,8.0
4700,1750.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
7999,2379.0,4.0,4.0,(a) in-unit,(a) both,(a) single,(b) protected,4.0
4800,1700.0,4.0,2.5,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4400,1400.0,4.0,2.5,(a) in-unit,(a) both,(c) multi,(c) off-street,7.0
3600,1000.0,4.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,5.0
3950,1432.0,3.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,9.0
5555,1555.0,5.0,1.5,(c) no laundry,(a) both,(c) multi,(d) no parking,5.0
7950,1800.0,5.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,6.0
10000,2000.0,6.0,2.0,(a) in-unit,(d) no pets,(a) single,(c) off-street,7.0
1575,310.0,0.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
2225,428.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
2915,543.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,5.0
2445,400.0,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
2195,404.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
3250,1036.0,2.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
5000,2100.0,6.0,3.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,2.0
2404,1032.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,10.0
3995,1090.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3807,1592.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,10.0
3000,631.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2917,721.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2574,736.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4242,981.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(a) valet,9.0
2288,433.0,0.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2500,800.0,1.0,1.5,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
3195,750.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2337,800.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,9.0
2418,431.0,0.0,1.0,(a) in-unit,(d) no pets,(c) multi,(c) off-street,9.0
3980,1000.0,4.0,1.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
5200,1800.0,5.0,2.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,7.0
4595,1400.0,4.0,1.5,(a) in-unit,(d) no pets,(c) multi,(d) no parking,6.0
2500,950.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,2.0
2292,515.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
3363,1090.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2643,769.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
3500,1250.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
4495,1494.0,2.0,2.5,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
5650,936.0,4.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,6.0
4595,1200.0,3.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
2800,800.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,7.0
3600,1280.0,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
3099,921.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3395,850.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,5.0
2695,780.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,1.0
5795,1620.0,4.0,3.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2966,800.0,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
1218,200.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,9.0
5200,1000.0,3.0,1.0,(a) in-unit,(d) no pets,(a) single,(c) off-street,7.0
3495,800.0,2.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
3500,850.0,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8.0
3475,925.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
4395,1035.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,6.0
3850,1050.0,2.0,1.5,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4595,1500.0,3.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,5.0
4750,1414.0,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
19000,2358.0,3.0,3.5,(a) in-unit,(d) no pets,(c) multi,(a) valet,9.0
3650,750.0,3.0,2.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
2875,633.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,2.0
2427,1133.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,10.0
2695,1000.0,2.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8.0
2695,1000.0,2.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,5.0
3412,916.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
2850,750.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3099,875.0,2.0,2.0,(b) on-site,(d) no pets,(c) multi,(b) protected,6.0
4050,1200.0,3.0,1.5,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
2200,500.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,7.0
2595,650.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,1.0
3295,933.0,2.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,8.0
3295,833.0,2.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,8.0
3300,950.0,3.0,1.5,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3500,909.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
3459,882.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4950,1300.0,3.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,6.0
2669,789.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
2995,650.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
3525,805.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,6.0
4210,1374.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
2395,650.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,6.0
2200,550.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
2595,690.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4400,1200.0,3.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,8.0
1900,650.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
3400,680.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,6.0
2450,450.0,1.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,8.0
2195,750.0,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1.0
1800,450.0,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(c) off-street,3.0
2990,587.0,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,5.0
3980,800.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(c) off-street,5.0
2950,1000.0,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,6.0
3799,1187.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,8.0
4000,775.0,3.0,1.0,(b) on-site,(d) no pets,(a) single,(d) no parking,10.0
5290,1420.0,3.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4800,1400.0,3.0,2.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,9.0
3600,1000.0,3.0,1.5,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
4295,830.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
3000,675.0,1.0,1.0,(b) on-site,(c) cats,(c) multi,(c) off-street,8.0
4999,1400.0,3.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,6.0
3700,1300.0,1.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2800,970.0,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3100,500.0,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
1600,400.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
1600,400.0,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
5500,1500.0,3.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
5500,1500.0,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
2246,476.0,0.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,2.0
3150,800.0,2.0,1.0,(b) on-site,(d) no pets,(a) single,(d) no parking,9.0
4900,1600.0,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
